algoritmo,population_size,seed,ticks,best_x,best_y,best_val,mean_val,min_p_best
WOA,100,2,100,-3.3766659256869714E-14,2.9446994818783815E-13,8.785273766311762E-26,4.697051235111001E-25,8.785273766311762E-26
WOA,100,3,100,2.761361720148981E-13,-3.5319060781783363E-12,1.2550611730568117E-23,1.2692960618589828E-23,1.2550611730568117E-23
WOA,100,4,100,3.914588922121551E-13,-1.8689479510242E-12,3.6462065079295225E-24,2.9405829042709647E-19,3.6462065079295225E-24
WOA,100,5,100,-7.116010436302111E-15,-1.1123671376852885E-12,1.237411286606691E-24,5.670384125515364E-23,1.237411286606691E-24
WOA,200,1,10,-4.895122370853901E-4,7.08622259602094E-5,2.4464368532437886E-7,3.7160233097073183,2.4464368532437886E-7
WOA,200,2,10,-1.7492888453849342E-4,-9.947167312849235E-4,1.0200614901440444E-6,5.671136894389309,1.0200614901440444E-6
WOA,200,3,10,0.0021389873018452027,0.009674859004226178,9.817816342911137E-5,6.482792802638049,9.817816342911137E-5
WOA,200,4,10,0.008252530990945887,-0.009101884272152638,1.5094856506018186E-4,2.5265781959868043,1.5094856506018186E-4
WOA,200,5,10,-6.127018608752812E-4,0.0072529294990342896,5.298038988828183E-5,6.140744195734959,5.298038988828183E-5
WOA,200,1,50,-8.033577558958829E-10,2.4342436633940034E-9,6.570925896731927E-18,1.8140435793792842E-8,6.570925896731927E-18
WOA,200,2,50,2.2605568457748793E-8,-7.195100246256596E-8,5.687958480666141E-15,3.5185721876422446E-10,5.687958480666141E-15
WOA,200,3,50,1.0503912732783484E-11,-3.7803915545633867E-10,1.4302393524083973E-19,4.5736407946407275E-12,1.4302393524083973E-19
WOA,200,4,50,1.5995851478239157E-10,7.610731843699027E-9,5.794882592314579E-17,3.2414523528624215E-11,5.794882592314579E-17
WOA,200,5,50,-3.0088351334398352E-12,1.978402116767266E-11,4.004605824231418E-22,7.637362695769264E-11,4.004605824231418E-22
WOA,200,1,100,-4.1932111242525333E-17,-2.503434004271125E-14,6.267199396760493E-28,9.835343549901139E-27,6.267199396760493E-28
WOA,200,2,100,-5.067804385107362E-15,3.817473869999157E-14,1.4829933160983472E-27,3.3141008654691815E-24,1.4829933160983472E-27
WOA,200,3,100,-1.7492710399863666E-15,8.23008681333985E-15,7.079427812644547E-29,9.965561920697878E-29,7.079427812644547E-29
WOA,200,4,100,-1.2910027776244786E-18,1.6600635876659963E-17,2.7724779968128404E-34,6.186729950990143E-21,2.7724779968128404E-34
WOA,200,5,100,1.1824098365217151E-14,-3.724853699822616E-14,1.5272628106585538E-27,1.4919952761994058E-24,1.5272628106585538E-27
